name,C_SRR370,C_SRR371,C_SRR372,C_SRR373,C_SRR374,C_SRR377,C_SRR378,C_SRR380,C_SRR381,C_SRR382,PD_SRR316,PD_SRR317,PD_SRR318,PD_SRR319,PD_SRR320,PD_SRR325,PD_SRR329,PD_SRR333,PD_SRR334,PD_SRR335
Actinomyces naeslundii,3e-05,0.0,5e-05,0.00011,0.00014,3e-05,5e-05,4e-05,0.00047,1e-05,0.00016,1e-05,1e-05,2e-05,5e-05,2e-05,0.0,0.0002,0.0,2e-05
Actinomyces oris,1e-05,4e-05,8e-05,0.0001,0.00016,8e-05,1e-05,2e-05,0.00023,7e-05,0.00345,0.00025,6e-05,1e-05,3e-05,3e-05,4e-05,0.00147,2e-05,3e-05
Actinomyces pacaensis,1e-05,0.0,1e-05,2e-05,4e-05,3e-05,1e-05,0.0,1e-05,2e-05,6e-05,2e-05,1e-05,0.0,1e-05,0.0,2e-05,3e-05,0.0,0.0
Actinomyces radicidentis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0
Actinomyces sp. HMT 175,0.0,1e-05,1e-05,2e-05,2e-05,2e-05,0.0,0.0,0.00011,2e-05,0.00147,0.0001,2e-05,0.0,1e-05,1e-05,1e-05,0.00027,0.0,1e-05
Actinomyces sp. Z16,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actinomyces sp. oral taxon 169,0.0,2e-05,4e-05,3e-05,5e-05,9e-05,1e-05,0.0,0.00012,2e-05,0.00048,0.00016,2e-05,0.0,1e-05,3e-05,1e-05,0.00035,3e-05,3e-05
Actinomyces sp. oral taxon 171,1e-05,1e-05,1e-05,3e-05,6e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00018,1e-05,1e-05,9e-05,1e-05,1e-05,0.0,0.00033,0.0,1e-05
Actinomyces sp. oral taxon 414,1e-05,1e-05,2e-05,7e-05,3e-05,4e-05,1e-05,0.0,0.0,1e-05,0.0,1e-05,1e-05,9e-05,1e-05,1e-05,0.0001,1e-05,0.0,1e-05
Actinomyces sp. zg-332,0.0,1e-05,1e-05,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actinomyces viscosus,1e-05,0.0,1e-05,5e-05,5e-05,2e-05,1e-05,0.0,3e-05,1e-05,0.00032,2e-05,1e-05,2e-05,1e-05,1e-05,0.0,0.00033,0.0,1e-05
Actinomyces wuliandei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0
Actinoplanes sp. L3-i22,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actinoplanes sp. NBC_00393,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acutalibacter muris,4e-05,8e-05,4e-05,0.00015,6e-05,4e-05,0.00011,0.0001,5e-05,0.00013,1e-05,4e-05,4e-05,0.00013,3e-05,1e-05,5e-05,0.0002,5e-05,1e-05
Adhaeribacter radiodurans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adlercreutzia equolifaciens,1e-05,0.00013,0.00025,4e-05,0.00143,6e-05,1e-05,0.00023,0.00296,0.00388,3e-05,1e-05,0.00026,0.00134,0.00023,0.0,0.00012,1e-05,0.00123,0.0
Adlercreutzia hattorii,1e-05,0.00017,0.00016,4e-05,0.00155,6e-05,1e-05,0.00021,0.00205,0.00349,2e-05,1e-05,0.00012,0.00101,0.00033,0.0,0.00019,1e-05,0.00078,0.0
Aedoeadaptatus ivorii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aequoribacter fuscus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aeribacillus pallidus,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aeromonas caviae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0
Aeromonas hydrophila,0.0,0.0001,0.00062,1e-05,4e-05,0.00014,0.0,0.00013,4e-05,0.00048,0.00059,0.00047,6e-05,0.00041,0.00047,7e-05,0.00148,0.0,0.00011,7e-05
Afipia carboxidovorans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afonbuvirus coli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afonbuvirus faecalis,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afonbuvirus intestinihominis,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agathobacter rectalis,0.01813,0.01118,0.00248,0.00158,0.00167,0.09143,0.00113,0.03316,0.00151,0.00163,0.00051,0.00095,0.02979,0.0013,0.02585,0.00013,0.02593,0.00135,0.00144,0.00013
Agathobaculum massiliense,0.00073,0.00047,0.0002,6e-05,0.00149,0.00052,0.00011,0.00033,0.00018,0.00063,0.00022,0.00022,0.00021,0.00107,0.0001,0.00013,0.00022,0.00069,1e-05,0.00013
Agathobaculum sp. NTUH-O15-33,4e-05,0.00011,2e-05,2e-05,4e-05,6e-05,0.00017,0.00018,4e-05,0.00028,4e-05,4e-05,2e-05,0.0001,4e-05,2e-05,0.00024,0.00013,1e-05,2e-05
Aggregatibacter aphrophilus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0
Agrobacterium arsenijevicii,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agrobacterium pusense,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agrobacterium rosae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0
Agrobacterium tumefaciens,1e-05,0.0,1e-05,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0
Agrobacterium vitis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0
Akkermansia biwaensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043,0.0,0.0,0.0,0.00043
Akkermansia massiliensis,1e-05,2e-05,2e-05,0.07304,2e-05,3e-05,0.0,0.0,5e-05,0.0,7e-05,2e-05,0.00333,0.0,0.0,0.0,2e-05,7e-05,0.0,0.0
Akkermansia muciniphila,7e-05,0.03214,0.00945,0.00065,0.00011,6e-05,8e-05,7e-05,0.03413,0.00012,0.00149,0.0001,3e-05,3e-05,9e-05,2e-05,0.02318,0.06721,9e-05,2e-05
Akkermansia sp. AE01SA01,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,1e-05,0.0,0.0,1e-05,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0
Akkermansia sp. BCRC 18949,0.0,2e-05,0.0,0.0001,0.0,0.0,0.0,5e-05,0.0,0.0,0.0,1e-05,1e-05,2e-05,1e-05,0.0,0.0,3e-05,0.0,0.0
Akkermansia sp. EB-AMDK43,0.0,0.00015,0.0,0.00085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-05,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
Akkermansia sp. N21116,0.0,0.0,0.0,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akkermansia sp. RCC_12PD,0.0,1e-05,0.0,0.0,0.0,1e-05,0.0,1e-05,0.0,0.0,2e-05,0.0,0.0,0.0,2e-05,0.0,1e-05,1e-05,0.0,0.0
Alcaligenes faecalis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alcanivorax sp. IL2,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algoriphagus machipongonensis,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algoriphagus sp. NBT04N3,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alistipes communis,0.0001,0.00206,0.00409,2e-05,0.00016,0.00168,1e-05,0.0179,0.0021,0.00061,0.00066,1e-05,0.00066,0.0004,7e-05,0.00026,0.00424,0.0001,0.00035,0.00026
Alistipes dispar,4e-05,2e-05,0.00023,0.0,0.00142,0.00047,1e-05,0.01209,0.00161,3e-05,2e-05,1e-05,2e-05,3e-05,2e-05,1e-05,0.0001,0.0,3e-05,1e-05
Alistipes finegoldii,0.03195,0.00237,0.01088,4e-05,0.00022,0.00016,0.02489,0.00044,0.01051,0.02185,0.00051,0.00016,0.0002,0.00064,0.00401,0.00048,0.00499,5e-05,0.00504,0.00048
Alistipes ihumii,0.00011,0.00046,0.00206,0.0,0.00122,0.00067,0.0,0.00683,2e-05,1e-05,1e-05,0.0,0.00065,1e-05,1e-05,0.0,1e-05,0.0,0.0,0.0
Alistipes indistinctus,0.0,0.00072,0.00214,0.0,2e-05,0.00016,0.0,0.00072,0.00059,1e-05,0.0,0.0,0.00033,1e-05,0.0,0.0,2e-05,0.0,1e-05,0.0
Alistipes megaguti,0.0,3e-05,7e-05,0.0,0.00187,0.00019,0.0,5e-05,0.00027,1e-05,3e-05,0.0,8e-05,6e-05,0.0,1e-05,7e-05,0.0,1e-05,1e-05
Alistipes onderdonkii,0.0098,0.0026,0.00195,0.00049,0.00028,8e-05,0.00083,0.00098,0.00083,0.20481,0.00073,0.00012,0.00245,0.03545,0.00029,0.01926,0.00978,2e-05,8e-05,0.01926
Alistipes putredinis,8e-05,0.01068,0.0329,6e-05,0.00013,0.00082,9e-05,0.03359,0.02937,0.02604,0.00021,7e-05,0.02038,0.03147,0.00015,0.00747,0.01212,8e-05,0.01813,0.00747
Alistipes senegalensis,8e-05,0.00177,0.00222,0.0,0.00025,0.00281,5e-05,0.00021,0.00142,0.00039,0.00021,8e-05,0.00267,5e-05,0.00012,2e-05,9e-05,0.0,5e-05,2e-05
Alistipes shahii,0.02971,0.00959,0.03957,4e-05,0.00616,0.0012,0.00016,0.03171,0.00061,0.00189,0.0166,0.00019,0.01115,0.0002,0.00013,0.00171,0.0008,0.00133,0.00041,0.00171
Alistipes sp. dk3624,0.0,0.00037,0.00107,0.0,1e-05,1e-05,0.0,2e-05,5e-05,0.0,0.0,0.0,1e-05,2e-05,0.0,0.0,1e-05,0.0,0.0,0.0
Alistipes sp. i18-0019-D1,0.00016,8e-05,0.00026,0.0,0.00012,3e-05,5e-05,0.00021,0.00021,7e-05,0.00011,0.0,0.00011,5e-05,1e-05,2e-05,0.00558,1e-05,3e-05,2e-05
Alkalibacter rhizosphaerae,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0
Alkalicoccus halolimnae,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alkalihalophilus pseudofirmus,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alkaliphilus metalliredigens,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alkaliphilus oremlandii,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alkaliphilus sp. B6464,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alloactinosynnema sp. L-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allobacillus halotolerans,0.0,0.0,0.0,4e-05,0.0,0.0,0.0,0.0,4e-05,0.0,0.0,0.0,0.0,2e-05,0.0,0.0,0.0,0.0,0.0,0.0
Allobaculum mucilyticum,0.0,1e-05,0.0,1e-05,0.0,1e-05,0.0,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allobaculum sp. Allo2,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allochromatium tepidum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allocoprobacillus halotolerans,0.0,6e-05,1e-05,4e-05,1e-05,1e-05,5e-05,1e-05,0.0,4e-05,0.0,0.0,1e-05,1e-05,0.0,1e-05,0.0,0.0,0.0,1e-05
Alloscardovia omnicolens,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amedibacterium intestinale,4e-05,1e-05,4e-05,0.01236,4e-05,0.00016,0.00013,2e-05,1e-05,1e-05,3e-05,8e-05,1e-05,0.0,1e-05,1e-05,6e-05,2e-05,5e-05,1e-05
Aminipila butyrica,0.0,1e-05,0.0,0.0,1e-05,1e-05,0.0,1e-05,1e-05,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0
Aminipila luticellarii,0.0,1e-05,0.0004,0.0,1e-05,3e-05,0.0,0.00046,1e-05,1e-05,0.0,0.0,4e-05,0.0,0.0,0.0,2e-05,0.0,0.0,0.0
Aminipila terrae,0.0,1e-05,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aminobacter sp. SR38,0.0,0.0,0.0,0.0,2e-05,0.0,1e-05,2e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonifex degensii,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amycolatopsis albispora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0
Amycolatopsis coloradensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amycolatopsis cynarae,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amygdalobacter indicium,0.0,3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amygdalobacter nucleatus,0.0,0.0,1e-05,2e-05,0.0,2e-05,1e-05,3e-05,3e-05,0.0,0.0,1e-05,1e-05,0.0,0.0,0.0,1e-05,1e-05,0.0,0.0
Anaerobutyricum hallii,0.00922,0.00816,0.00275,0.00056,0.0004,0.0133,0.00043,0.00513,0.00474,0.00087,0.00025,0.0002,0.00553,0.01317,0.00618,7e-05,0.00559,0.00041,0.00012,7e-05
Anaerococcus obesiensis,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anaerococcus vaginalis,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anaerocolumna cellulosilytica,1e-05,2e-05,1e-05,1e-05,0.0,2e-05,0.0,1e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,1e-05,0.0,1e-05,0.0
Anaerocolumna chitinilytica,1e-05,3e-05,2e-05,2e-05,1e-05,1e-05,0.0,2e-05,0.0,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,1e-05,0.0,1e-05,0.0
Anaerocolumna sedimenticola,1e-05,4e-05,2e-05,2e-05,2e-05,1e-05,0.0,2e-05,1e-05,1e-05,2e-05,2e-05,1e-05,2e-05,1e-05,0.0,2e-05,1e-05,1e-05,0.0
Anaerocolumna sp. AGMB13020,1e-05,1e-05,1e-05,2e-05,0.0,1e-05,0.0,1e-05,1e-05,1e-05,0.0,1e-05,1e-05,1e-05,0.0,0.0,1e-05,0.0,0.0,0.0
Anaerocolumna sp. AGMB13025,2e-05,1e-05,1e-05,2e-05,1e-05,1e-05,0.0,2e-05,2e-05,2e-05,0.0,0.0,1e-05,0.0,1e-05,0.0,1e-05,1e-05,1e-05,0.0
Anaerocolumna sp. MB42-C2,2e-05,1e-05,2e-05,1e-05,1e-05,1e-05,0.0,1e-05,1e-05,2e-05,1e-05,0.0,1e-05,1e-05,1e-05,0.0,1e-05,1e-05,1e-05,0.0
Anaerofustis stercorihominis,1e-05,1e-05,2e-05,7e-05,1e-05,1e-05,0.0,1e-05,3e-05,3e-05,2e-05,0.0,0.0,1e-05,0.0,2e-05,2e-05,2e-05,0.0,2e-05
Anaerohalosphaera lusitana,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anaeromicropila herbilytica,1e-05,1e-05,1e-05,3e-05,1e-05,1e-05,1e-05,1e-05,2e-05,1e-05,0.0,1e-05,1e-05,0.0,0.0,0.0,0.0,1e-05,0.0,0.0
Anaeropeptidivorans aminofermentans,0.0,0.0,0.0,0.0,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anaerostipes caccae,0.00015,3e-05,3e-05,0.00583,4e-05,2e-05,0.00099,5e-05,0.00013,0.00119,0.00107,0.00023,2e-05,8e-05,0.00019,0.00399,2e-05,0.0002,0.00176,0.00399
Anaerostipes hadrus,0.00291,0.01303,0.0007,0.00083,0.00027,0.00252,0.00111,0.00415,0.00401,0.02379,0.0001,5e-05,0.00274,0.01895,0.00047,4e-05,0.01471,0.00042,5e-05,4e-05
Anaerostipes rhamnosivorans,2e-05,1e-05,2e-05,2e-05,1e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0,1e-05,1e-05,1e-05,1e-05,1e-05
Anaerostipes sp. PC18,2e-05,1e-05,1e-05,0.00024,6e-05,2e-05,2e-05,3e-05,2e-05,4e-05,2e-05,5e-05,1e-05,2e-05,1e-05,2e-05,1e-05,4e-05,4e-05,2e-05
Anaerotignum propionicum,0.0,1e-05,2e-05,0.0,0.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,2e-05,0.0,0.0,0.0,0.0,0.0,0.0
Anaerotignum sp. MB30-C6,0.0,1e-05,0.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,1e-05,0.0,1e-05,2e-05,0.0,1e-05,0.0,0.0,0.0,1e-05
Anaerotruncus colihominis,0.00143,0.00059,0.00082,0.0002,0.00212,0.0005,0.001,0.00166,0.00058,0.00181,0.00026,0.00092,0.00053,0.00364,0.00026,0.00036,0.00329,0.00179,0.00056,0.00036
Aneurinibacillus sp. Ricciae_BoGa-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anoxybacter fermentans,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anoxybacterium hadale,0.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,2e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antiquaquibacter oligotrophicus,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aquicella lusitana,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aquifex aeolicus,0.0,1e-05,0.0,1e-05,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aquimarina sp. AD10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aquimarina sp. SS2-1,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aquirufa nivalisilvae,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arabiibacter massiliensis,0.0,1e-05,2e-05,0.00024,2e-05,4e-05,0.0,2e-05,1e-05,1e-05,0.0,0.0,1e-05,2e-05,0.0,0.0,1e-05,2e-05,0.0,0.0
Arachidicoccus ginsenosidivorans,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
